timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz,target
491114,0.1008,0.0,0.0,0.0,0.1954,-0.32858257728949464,-0.1350500859230281,0.8270947911473688,-0.3201687463516947,-1.9409497497578865,-1.5996054984454493,HELLO
491134,0.1011,0.0,0.0,0.0,0.2415,-0.5741781715005584,-0.3015004742356835,0.9292918551532354,-0.22675640514711887,-1.9700990649259225,-1.5996054984454493,HELLO
491154,0.1066,0.0,0.0,0.0,0.181,-1.0321369527852151,-0.40905303283770605,0.9166162503152986,-0.10816910673847296,-1.910389983855914,-1.5996054984454493,HELLO
491174,0.1042,0.0,0.0,0.0,0.1924,-1.2692218085830242,-0.4730724129579575,0.9411752346888014,-0.04788170922346307,-1.5681206057538175,-1.5996054984454493,HELLO
491194,0.1023,0.0,0.0,0.0,0.1978,-1.4742900770166847,-0.7948764970290906,1.0160405257628669,-0.01939425765043641,-1.198582513462268,-1.546190142809175,HELLO
491214,0.1097,0.0,0.0,0.0,0.226,-1.6826005315125374,-0.9254760324744041,1.0790224373013662,0.0326119039421822,-0.8172906650545751,-1.2946104122506732,HELLO
491234,0.112,0.0,0.0,0.0,0.2739,-1.8175565263512903,-0.9971777382090858,1.1059580975819825,0.128674240641923,-0.49006609478114216,-0.9497186715374452,HELLO
491254,0.1221,0.0,0.0,0.0,0.2427,-1.7839188459560456,-1.2156972223528792,1.2041940350759937,0.10913052386507943,-0.4533943756987748,-0.5998810645615992,HELLO
491274,0.1186,0.0,0.0,0.0,0.2745,-2.645935065241413,-0.8947467300166828,1.1023930837213125,0.36783633408058886,-0.8732385441674179,0.6171317604599346,HELLO
491294,0.1155,0.0,0.0,0.0,0.296,-2.394665645421513,-1.6979765525921098,0.9546430648291098,0.030624407320808095,-1.0533060878667353,0.7407784170253843,HELLO
491314,0.1201,0.0,0.0,0.0,0.2858,-2.199323935174429,-0.9391335002333916,0.9748448100395718,-0.06013793838860238,-0.6245290647498231,0.28378037435948206,HELLO
491334,0.1209,0.0,0.0,0.0,0.2553,-1.888074073203972,-0.9434014589080746,0.897602843058393,-0.039269223864175966,0.2170398731660462,0.7176977077998337,HELLO
491354,0.1217,0.0,0.0,0.0,0.2325,-1.58736131593564,-0.8631638358240259,1.134082095816155,-0.023369250893184246,0.5767048103200351,1.3745087474755031,HELLO
